Código UFCD;UFCD;Carga Horária UFCD;Componente;Código Área de Formação;Designação Área de Formação;Código Qualificação;Qualificação;Nível QNQ;Nível QEQ
1;História das artes e da indústria gráfica;25;Tecnológica;213;Audiovisuais e Produção dos Media;213001;Operador/a de Pré-Impressão;2;2
2;Desktop publishing - tratamento de texto e paginação;25;Tecnológica;213;Audiovisuais e Produção dos Media;213001;Operador/a de Pré-Impressão;2;2
3;Desktop publishing - tratamento de texto e imagem;50;Tecnológica;213;Audiovisuais e Produção dos Media;213001;Operador/a de Pré-Impressão;2;2
4;Desktop publishing - scanners;25;Tecnológica;213;Audiovisuais e Produção dos Media;213001;Operador/a de Pré-Impressão;2;2
5;Desktop publishing - impressoras;25;Tecnológica;213;Audiovisuais e Produção dos Media;213001;Operador/a de Pré-Impressão;2;2
6;Técnicas de digitação - texto;25;Tecnológica;213;Audiovisuais e Produção dos Media;213001;Operador/a de Pré-Impressão;2;2
7;Composição de texto;50;Tecnológica;213;Audiovisuais e Produção dos Media;213001;Operador/a de Pré-Impressão;2;2
8;Revisão gráfica;25;Tecnológica;213;Audiovisuais e Produção dos Media;213001;Operador/a de Pré-Impressão;2;2
8;Revisão gráfica;25;Tecnológica;213;Audiovisuais e Produção dos Media;213371;Técnico/a de Artes Gráficas;4;4
9;Trabalhos gráficos comerciais;25;Tecnológica;213;Audiovisuais e Produção dos Media;213001;Operador/a de Pré-Impressão;2;2
10;Introdução à imposição eletrónica;25;Tecnológica;213;Audiovisuais e Produção dos Media;213001;Operador/a de Pré-Impressão;2;2
11;Pré-impressão - convencional equipamentos, consumíveis e montagens gráficas;25;Tecnológica;213;Audiovisuais e Produção dos Media;213001;Operador/a de Pré-Impressão;2;2
12;Tecnologias de impressão e acabamentos;25;Tecnológica;213;Audiovisuais e Produção dos Media;213001;Operador/a de Pré-Impressão;2;2
12;Tecnologias de impressão e acabamentos;25;Tecnológica;213;Audiovisuais e Produção dos Media;213371;Técnico/a de Artes Gráficas;4;4
13;Técnicas de paginação - iniciação;25;Tecnológica;213;Audiovisuais e Produção dos Media;213001;Operador/a de Pré-Impressão;2;2
14;Técnicas de paginação – consolidação;50;Tecnológica;213;Audiovisuais e Produção dos Media;213001;Operador/a de Pré-Impressão;2;2
15;Ajustamentos na composição das páginas;25;Tecnológica;213;Audiovisuais e Produção dos Media;213001;Operador/a de Pré-Impressão;2;2
16;Paginação e imposições;50;Tecnológica;213;Audiovisuais e Produção dos Media;213001;Operador/a de Pré-Impressão;2;2
